i,energy group,exterior average coarseness,factor,interior average coarseness,interior coarseness,mode,num interior surfs,ratio,size,total average coarseness
58,1,0.064,0.2,0.11953634438178243,"set([0.11409780953416145, 0.12181483741779796])",dc,2,8,1.37127685546875,0.07362373665617986
59,0,0.064,0.2,0.11898461221721904,"set([1.2385074855020668, 0.1142942836813632, 0.3485776741500441, 0.796322010417879, 0.12104842198179182, 3.203019967119867])",dc,6,8,1.7755012512207031,0.08069928198882705
60,2,0.064,0.2,0.11267595001180992,set([0.11267595001180992]),dc,1,10,1.0969772338867188,0.0667765491754692
61,1,0.064,0.2,0.11078012171175065,set([0.11078012171175065]),dc,1,10,1.0758285522460938,0.06617739037769092
62,0,0.064,0.2,0.112612959120053,set([0.112612959120053]),dc,1,10,1.1973533630371094,0.06920340711451672
63,2,0.064,0.2,0.11802297045963786,"set([0.9266906860376832, 0.12094512634581339, 0.11842021794531542, 0.12076688092863143, 0.11124804173716334, 0.15506084529297215])",dc,6,7,1.5171279907226562,0.07627121269456677
64,1,0.064,0.2,0.11847609499982975,"set([0.12119248240821058, 0.11198145706335923, 0.17864966161799964, 0.7117929129888138])",dc,4,7,1.3953742980957031,0.0739972972004746
65,0,0.064,0.2,0.11984582456007946,"set([0.11808204335688596, 0.12215217032768026, 0.16231965596211362, 1.69861028126965, 0.11309216207960751])",dc,5,7,1.9422569274902344,0.08324449176524348
66,2,0.064,0.2,0.1169298520897374,"set([0.09551256074039552, 0.11412088564597331, 0.12191414358839772, 0.10835331271129081])",dc,4,6,1.5704421997070312,0.07705223663186156
67,1,0.064,0.2,0.11942816195731948,"set([3.5576901468145135, 0.11423613894336726, 0.11226910667758663, 0.12388648128428477])",dc,4,6,1.4847373962402344,0.07587727697246856
68,0,0.064,0.2,0.11960461396123667,"set([0.11770447673246029, 0.11496449407478192, 0.797210821955369, 0.12189487770136301])",dc,4,6,2.0237884521484375,0.08424115350743373
69,2,0.064,0.2,0.11746053298138455,"set([0.1138115297651808, 0.12218577468880985, 0.11648050344601361, 0.08453410744276228, 0.11255105967183919])",dc,5,5,1.6640167236328125,0.0786839365243125
70,1,0.064,0.2,0.11986603541689847,"set([0.12302740998976856, 0.11604458574506452, 0.30726691037575893, 0.2555028528794549, 0.11534890006390125])",dc,5,5,1.54852294921875,0.07712262800211328
71,0,0.064,0.2,0.12038290287522117,"set([0.20549145013190118, 0.11985762853147479, 55.78132094436728, 0.12228280439603204, 0.12165613234918965, 0.11636787435601816, 0.27447573008737214])",dc,7,5,3.0571861267089844,0.08679080565243597
